,Country,Alcoholic Beverages (fat),Animal Products (fat),Animal fats (fat),"Aquatic Products, Other (fat)",Cereals - Excluding Beer (fat),Eggs (fat),"Fish, Seafood (fat)",Fruits - Excluding Wine (fat),Meat (fat),Miscellaneous (fat),Milk - Excluding Butter (fat),Offals (fat),Oilcrops (fat),Pulses (fat),Spices (fat),Starchy Roots (fat),Stimulants (fat),Sugar Crops (fat),Sugar & Sweeteners (fat),Treenuts (fat),Vegetal Products (fat),Vegetable Oils (fat),Vegetables (fat),Obesity (fat),Undernourished (fat),Confirmed (fat),Deaths (fat),Recovered (fat),Active (fat),Population (fat),Unit (all except Population) (fat),Alcoholic Beverages (kcal),Animal Products (kcal),Animal fats (kcal),"Aquatic Products, Other (kcal)",Cereals - Excluding Beer (kcal),Eggs (kcal),"Fish, Seafood (kcal)",Fruits - Excluding Wine (kcal),Meat (kcal),Milk - Excluding Butter (kcal),Miscellaneous (kcal),Offals (kcal),Oilcrops (kcal),Pulses (kcal),Spices (kcal),Starchy Roots (kcal),Stimulants (kcal),Sugar Crops (kcal),Sugar & Sweeteners (kcal),Treenuts (kcal),Vegetal Products (kcal),Vegetable Oils (kcal),Vegetables (kcal),Obesity (kcal),Undernourished (kcal),Confirmed (kcal),Deaths (kcal),Recovered (kcal),Active (kcal),Population (kcal),Unit (all except Population) (kcal),Alcoholic Beverages (protein),Animal Products (protein),Animal fats (protein),"Aquatic Products, Other (protein)",Cereals - Excluding Beer (protein),Eggs (protein),"Fish, Seafood (protein)",Fruits - Excluding Wine (protein),Meat (protein),Milk - Excluding Butter (protein),Offals (protein),Oilcrops (protein),Pulses (protein),Spices (protein),Starchy Roots (protein),Stimulants (protein),Sugar Crops (protein),Sugar & Sweeteners (protein),Treenuts (protein),Vegetal Products (protein),Vegetable Oils (protein),Vegetables (protein),Miscellaneous (protein),Obesity (protein),Undernourished (protein),Confirmed (protein),Deaths (protein),Recovered (protein),Active (protein),Population (protein),Unit (all except Population) (protein)
129,Saint Lucia,0.0,33.3454,3.813,0.0,1.6712,0.5249,1.5867,0.3741,22.8778,0.1629,4.3137,0.2353,2.4012,0.181,0.4163,0.0965,0.9894,0.0,0.0,0.5551,16.6516,9.6531,0.1508,19.8,,0.996153846153846,0.0098901098901098,0.480769230769231,0.505494505494506,182000.0,%,2.5564,14.6429,1.0526,0.0,15.3571,0.2444,1.2218,2.0113,8.9286,2.9323,0.4323,0.2632,0.8647,1.109,0.3383,1.2406,0.3571,0.0,7.4436,0.188,35.3571,2.6692,0.7895,19.8,,0.996153846153846,0.0098901098901098,0.480769230769231,0.505494505494506,182000.0,%,0.3355,30.1926,0.0578,0.0,12.7653,0.5784,5.437,0.7577,18.0172,4.795,1.3072,0.856,2.3367,0.3297,0.6709,0.2082,0.0,0.0,0.1504,19.8161,0.0463,0.9312,0.4107,19.8,,0.996153846153846,0.0098901098901098,0.480769230769231,0.505494505494506,182000.0,%
130,Saint Vincent and the Grenadines,0.0,24.4653,1.085,0.0,4.3274,0.7589,0.715,0.7526,17.529,0.2258,4.2521,0.1254,0.6773,0.2759,1.2919,0.1756,1.7184,0.0,0.0,0.4516,25.5315,15.3904,0.2509,23.8,5.7,1.08288288288288,0.0027027027027027,0.361261261261261,0.718918918918919,111000.0,%,1.8243,10.2196,0.2703,0.0,17.0777,0.2872,0.5574,3.5473,6.5878,2.3986,0.5068,0.1182,0.2534,1.3345,0.5912,2.348,0.5405,0.0,7.027,0.1351,39.7804,3.6655,0.9291,23.8,5.7,1.08288288288288,0.0027027027027027,0.361261261261261,0.718918918918919,111000.0,%,0.1677,27.105,0.028,0.0,14.0613,0.738,2.9408,1.3195,17.9582,4.8362,0.6094,0.5591,2.8682,0.3075,1.1741,0.3522,0.0,0.0,0.1118,22.8894,0.028,1.4481,0.4976,23.8,5.7,1.08288288288288,0.0027027027027027,0.361261261261261,0.718918918918919,111000.0,%
131,Samoa,0.0,21.6806,4.778,0.0036,1.5771,0.2227,1.8968,0.6287,13.2418,0.0683,1.4693,0.0683,16.8666,0.0,0.115,0.3341,0.291,0.0,0.0,0.0611,28.3194,8.3345,0.0431,45.5,2.7,0.001,0.0,0.001,0.0,200000.0,%,0.521,13.4454,2.0,0.0336,9.6134,0.1513,1.7479,3.8992,7.9832,1.4286,0.2857,0.1176,9.0924,0.0,0.1345,4.7395,0.2857,0.0,4.1849,0.0336,36.5378,3.4454,0.3193,45.5,2.7,0.001,0.0,0.001,0.0,200000.0,%,0.1866,30.9096,0.1341,0.1341,8.4665,0.4023,7.3761,1.6968,19.3878,2.793,0.6822,3.5918,0.0,0.1574,3.586,0.5248,0.0,0.0058,0.0292,19.0904,0.0058,0.5364,0.3032,45.5,2.7,0.001,0.0,0.001,0.0,200000.0,%
132,Sao Tome and Principe,0.0,7.3284,0.6241,0.0,2.9864,0.1074,1.4361,1.2013,4.1809,0.0537,0.9731,0.0134,20.7704,0.1342,0.0336,0.1544,0.0738,0.0,0.0,0.0268,42.6616,17.1666,0.0738,10.6,7,0.643333333333333,0.0085714285714285,0.504761904761905,0.13,210000.0,%,0.7034,3.6409,0.1862,0.0,18.5974,0.0414,1.1585,8.854,1.6343,0.6206,0.1448,0.0207,6.6198,0.7447,0.0621,2.379,0.0207,0.0,3.2685,0.0,46.3591,4.6752,0.2689,10.6,7,0.643333333333333,0.0085714285714285,0.504761904761905,0.13,210000.0,%,0.0672,15.2065,0.0576,0.0,22.1614,0.1921,8.3285,4.6494,4.9952,1.5178,0.1153,3.1412,2.2094,0.0576,1.6523,0.0288,0.0,0.0,0.0096,34.7935,0.0192,0.586,0.2113,10.6,7,0.643333333333333,0.0085714285714285,0.504761904761905,0.13,210000.0,%
133,Saudi Arabia,0.0,15.3954,2.6475,0.0,5.2126,0.9019,0.4122,0.4219,6.9243,0.0873,4.4125,0.097,0.6207,0.1794,0.48,0.0291,1.251,0.0,0.0,0.7128,34.607,25.4182,0.1891,35.0,7.1,1.05579464056391,0.0182557575411661,1.03089809080791,0.006640792214834,35041000.0,%,0.0,7.59,0.7825,0.0,23.4585,0.4069,0.3286,3.2707,3.349,2.6448,0.2973,0.0782,0.2347,0.7825,0.4069,0.5321,0.5008,0.0,4.6479,0.266,42.41,7.2457,0.7668,35.0,7.1,1.05579464056391,0.0182557575411661,1.03089809080791,0.006640792214834,35041000.0,%,0.0,21.1377,0.1371,0.0,22.5827,1.1194,1.7362,1.2279,11.3199,6.3967,0.4284,0.2741,1.8276,0.4112,0.3141,0.4512,0.0,0.0,0.2799,28.8594,0.0057,1.0966,0.3941,35.0,7.1,1.05579464056391,0.0182557575411661,1.03089809080791,0.006640792214834,35041000.0,%
134,Senegal,0.0,6.104,0.7876,0.0,5.7374,0.258,0.7129,0.0815,3.2319,0.0068,0.9845,0.1222,3.9041,0.1222,0.1697,0.0543,0.2037,0.0,0.0,0.387,43.9028,33.0391,0.1901,7.4,11.3,0.17014452938366,0.0040312947921643,0.139106545628285,0.0270066889632107,16744000.0,%,0.0766,2.7565,0.1914,0.0,30.5896,0.1149,0.5934,0.4594,1.2634,0.4786,0.0191,0.0957,1.2825,0.7466,0.1149,1.1485,0.0957,0.0,3.2351,0.1149,47.2435,8.2312,1.1485,7.4,11.3,0.17014452938366,0.0040312947921643,0.139106545628285,0.0270066889632107,16744000.0,%,0.0247,10.7308,0.0165,0.0,31.8542,0.3877,4.19,0.2309,4.3632,1.0805,0.7011,2.3095,2.095,0.1567,0.6186,0.2062,0.0,0.0,0.1485,39.2692,0.0165,1.5589,0.0412,7.4,11.3,0.17014452938366,0.0040312947921643,0.139106545628285,0.0270066889632107,16744000.0,%
135,Serbia,0.0,33.0354,4.0698,0.0,2.1213,1.5195,0.3396,0.578,18.1385,0.006,8.7594,0.2145,1.1262,0.0775,0.0834,0.0596,1.5016,0.0,0.0,0.9355,16.9646,10.1061,0.3635,23.5,5.7,5.84090843754492,0.0591059364668679,0.0,5.78180250107805,6957000.0,%,2.5678,13.1419,1.1056,0.0,20.0428,0.6419,0.2318,2.1041,6.2946,4.6541,0.0178,0.214,0.3923,0.4458,0.0535,1.2482,0.5884,0.0,5.2247,0.2853,36.8581,2.6748,1.2126,23.5,5.7,5.84090843754492,0.0591059364668679,0.0,5.78180250107805,6957000.0,%,0.4242,24.2531,0.0545,0.0,19.2473,1.6847,1.1272,0.8666,10.9024,9.4722,1.006,0.5394,0.9878,0.0667,0.9999,0.5697,0.0,0.0061,0.2242,25.75,0.0364,1.7575,0.0242,23.5,5.7,5.84090843754492,0.0591059364668679,0.0,5.78180250107805,6957000.0,%
136,Sierra Leone,0.0,5.9931,0.1678,0.0,3.2063,0.2983,1.2117,0.261,2.0412,0.0373,2.1996,0.0746,4.856,0.466,0.2889,0.4474,0.0746,0.0,0.0,0.0559,44.0022,34.0479,0.2703,7.5,25.6,0.0472859470979065,0.0009903472483389,0.0307383728218629,0.0155572270277047,7977000.0,%,0.1021,2.6128,0.0408,0.0,27.5362,0.1021,0.8777,0.8573,0.6736,0.8777,0.0816,0.0612,1.2656,1.7759,0.1225,7.0831,0.0408,0.0,1.0206,0.2041,47.377,6.5932,0.694,7.5,25.6,0.0472859470979065,0.0009903472483389,0.0307383728218629,0.0155572270277047,7977000.0,%,0.0359,11.9253,0.0,0.0,24.7486,0.3592,6.5733,0.449,2.694,1.9037,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0.0,0.0,0.2335,38.0747,0.009,1.7241,0.1078,7.5,25.6,0.0472859470979065,0.0009903472483389,0.0307383728218629,0.0155572270277047,7977000.0,%
137,Slovakia,0.0,25.493,14.9373,0.0,2.0003,1.1183,0.2331,0.1386,5.8496,0.0095,3.2697,0.0851,0.7686,0.0221,0.0599,0.041,0.7655,0.0,0.0,0.4253,24.507,20.1474,0.1292,22.4,3.4,4.7926400585866,0.094013181984621,4.36142438667155,0.337202489930428,5462000.0,%,2.835,16.5403,7.8007,0.0,10.6717,0.9029,0.325,1.2459,4.3698,2.9614,0.0722,0.1806,0.5237,0.2347,0.0903,1.6974,0.5959,0.0,4.1712,0.2709,33.4597,10.2022,0.8487,22.4,3.4,4.7926400585866,0.094013181984621,4.36142438667155,0.337202489930428,5462000.0,%,0.7973,29.4291,0.9807,0.0,12.8688,3.0856,2.1049,0.606,13.8574,8.2842,1.1162,0.9727,0.6697,0.1515,1.7621,0.6618,0.0,0.0159,0.3189,20.5789,0.0558,1.5468,0.1355,22.4,3.4,4.7926400585866,0.094013181984621,4.36142438667155,0.337202489930428,5462000.0,%
138,Slovenia,0.0,26.6163,10.0008,0.0,3.5771,1.1287,0.3693,0.4606,8.5899,0.0622,6.4155,0.112,0.8714,0.0415,0.1784,0.0539,2.411,0.0,0.0,1.5852,23.3878,13.8684,0.2697,22.5,<2.5,8.2359010936757,0.171754636233952,7.31293390394674,0.751212553495007,2103000.0,%,2.2372,13.6108,3.5357,0.0,18.0069,0.6101,0.3442,2.6596,4.5995,4.3492,0.2034,0.1564,0.3755,0.2972,0.1408,1.5019,1.1264,0.0,3.4731,0.6414,36.3892,4.6308,1.1108,22.5,<2.5,8.2359010936757,0.171754636233952,7.31293390394674,0.751212553495007,2103000.0,%,0.5488,27.4912,0.6606,0.0,15.5089,1.5092,1.6515,0.7978,12.7954,9.9853,0.8842,0.4624,0.6301,0.1779,1.1179,0.8689,0.0,0.0051,0.498,22.5062,0.0356,1.6769,0.188,22.5,<2.5,8.2359010936757,0.171754636233952,7.31293390394674,0.751212553495007,2103000.0,%
139,Solomon Islands,0.0,13.6649,3.4726,0.0,3.0802,0.2943,2.5505,0.569,6.5431,0.0981,0.7553,0.049,16.5686,0.5199,0.1962,2.1778,0.981,0.0,0.0,0.3139,36.3351,11.752,0.0785,20.5,8.9,0.0023776223776223,0.0,0.0013986013986014,0.0009790209790209,715000.0,%,0.2697,4.1693,0.6638,0.0,16.7393,0.083,1.3483,1.1201,1.6179,0.3941,0.1867,0.0415,4.2315,1.8876,0.083,16.8845,0.2282,0.0,1.7424,0.0622,45.8411,2.1987,0.2074,20.5,8.9,0.0023776223776223,0.0,0.0013986013986014,0.0009790209790209,715000.0,%,0.1398,14.7782,0.0839,0.0186,15.0205,0.3168,9.1129,0.5498,3.9415,1.0622,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0.0,0.0,0.0839,35.2218,0.0,0.4752,0.2329,20.5,8.9,0.0023776223776223,0.0,0.0013986013986014,0.0009790209790209,715000.0,%
140,South Africa,0.0,19.7743,0.8542,0.0,6.4308,1.0982,0.2379,0.0854,14.1489,0.0,3.1056,0.3295,1.1836,0.0427,0.1037,0.0549,0.2807,0.0,0.0,0.0915,30.2257,21.7877,0.1647,27.0,6.2,2.47148990407191,0.0774468370564164,2.24809988595962,0.14594318105588,59628000.0,%,2.2875,7.614,0.2171,0.0,25.9977,0.4341,0.1837,0.5176,5.1428,1.3692,0.0,0.2839,0.4508,0.2672,0.0835,1.0519,0.1169,0.0,5.6938,0.0334,42.3777,5.2763,0.6011,27.0,6.2,2.47148990407191,0.0774468370564164,2.24809988595962,0.14594318105588,59628000.0,%,0.4676,20.7182,0.006,0.0,24.8966,1.2409,0.9712,0.2278,13.914,2.9615,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0.0,0.0,0.03,29.2848,0.0,0.7973,0.0,27.0,6.2,2.47148990407191,0.0774468370564164,2.24809988595962,0.14594318105588,59628000.0,%
141,Spain,0.0,19.5253,2.4641,0.0,1.078,1.2521,1.0814,0.375,9.2772,0.0,5.3601,0.0937,1.0513,0.0971,0.0134,0.0469,0.4955,0.0,0.0,1.3626,30.4731,25.6922,0.2611,27.1,<2.5,6.17611000314894,0.128867429411147,0.31568384591162,5.73155872782618,47635000.0,%,2.4163,13.1824,1.0093,0.0,11.9896,0.8105,1.2999,1.8351,5.9642,3.9456,0.0,0.1376,0.5353,0.7035,0.0153,1.5905,0.3517,0.0,4.8173,0.7035,36.8252,10.3839,1.4834,27.1,<2.5,6.17611000314894,0.128867429411147,0.31568384591162,5.73155872782618,47635000.0,%,0.4855,31.0583,0.0607,0.0,11.2506,2.012,5.7607,0.7096,15.2747,7.2732,0.6769,0.6022,1.3631,0.0187,1.1157,0.6396,0.0,0.0047,0.6302,18.9394,0.014,2.1101,0.0,27.1,<2.5,6.17611000314894,0.128867429411147,0.31568384591162,5.73155872782618,47635000.0,%
142,Sri Lanka,0.0,10.1348,0.3195,0.0,2.7159,1.1682,2.2766,0.5791,2.027,0.01,4.2336,0.0999,27.1892,0.3794,1.4279,0.0899,0.1198,0.0,0.01,0.4194,39.8602,6.7,0.2396,5.4,9,0.312604275880932,0.0016000364680676,0.285335278296941,0.0256689611159229,21937000.0,%,0.2105,3.7696,0.0574,0.0,26.9805,0.3253,1.1864,1.5499,0.6123,1.5308,0.0191,0.0574,5.7788,1.7604,0.8611,1.3203,0.0957,0.0,5.377,0.1722,46.2304,1.129,0.9759,5.4,9,0.312604275880932,0.0016000364680676,0.285335278296941,0.0256689611159229,21937000.0,%,0.0699,14.5498,0.0,0.0,23.7396,1.0176,7.4963,0.5438,2.4314,3.2083,0.3884,2.4703,4.4589,1.3284,0.4816,0.6448,0.0,0.0,0.1631,35.4541,0.0,1.5148,0.0388,5.4,9,0.312604275880932,0.0016000364680676,0.285335278296941,0.0256689611159229,21937000.0,%
143,Sudan,0.0,20.1511,1.7092,0.0,5.6998,0.2347,0.0587,0.3961,7.0789,0.0073,10.8055,0.2641,3.7265,0.4108,0.1174,0.0587,0.0587,0.0,0.0,0.0,29.8489,19.0214,0.3521,7.4,20.1,0.0675819288923351,0.0041756938584688,0.0497023877397432,0.013703847294123,43849000.0,%,0.0,7.9737,0.4316,0.0,22.8319,0.1028,0.0411,2.3839,2.4866,4.7267,0.0206,0.185,1.2125,2.0756,0.0822,0.8837,0.0617,0.1233,6.3296,0.0,42.0263,4.7061,1.3152,7.4,20.1,0.0675819288923351,0.0041756938584688,0.0497023877397432,0.013703847294123,43849000.0,%,0.0,15.5619,0.0147,0.0,23.8327,0.2578,0.2283,0.9648,5.9434,8.2192,0.9059,1.7823,5.0302,0.0884,0.5082,0.2504,0.0295,0.0,0.0,34.4307,0.0,1.9296,0.0221,7.4,20.1,0.0675819288923351,0.0041756938584688,0.0497023877397432,0.013703847294123,43849000.0,%
144,Suriname,0.0,14.8751,0.7849,0.0,3.1593,0.9601,0.772,0.2335,10.639,0.1557,1.6867,0.0324,3.1139,0.0649,0.0584,0.1103,0.8823,0.0,0.0,0.1557,35.1281,26.9089,0.2789,26.5,8.5,1.4297520661157,0.0264462809917355,1.31801652892562,0.0852892561983471,605000.0,%,1.4479,6.2001,0.2042,0.0,20.8094,0.4084,0.594,2.5617,3.8426,1.1138,0.4084,0.0371,1.0581,0.3527,0.0371,1.188,0.3156,0.0557,7.5924,0.0557,43.7906,6.8127,1.1138,26.5,8.5,1.4297520661157,0.0264462809917355,1.31801652892562,0.0852892561983471,605000.0,%,0.2987,20.4911,0.0166,0.0,20.7234,1.4186,3.924,1.3274,11.2992,3.559,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0166,0.0,0.0581,29.5006,0.0249,2.4224,0.6139,26.5,8.5,1.4297520661157,0.0264462809917355,1.31801652892562,0.0852892561983471,605000.0,%
145,Sweden,0.0,28.4111,9.7148,0.0,1.9481,1.3741,0.8778,0.3556,8.8481,0.0481,7.5926,0.0074,0.9519,0.0296,0.1111,0.0481,0.2333,0.0,0.0,0.9704,21.5852,16.663,0.2296,22.1,<2.5,5.66697504095596,0.11674857858726,0.0,5.5502264623687,10377000.0,%,2.2981,16.4907,3.7422,0.0,13.7733,0.823,0.9161,1.5839,5.2484,5.7609,0.1863,0.0155,0.4658,0.2484,0.1242,1.5373,0.3261,0.0,5.264,0.4503,33.4938,6.1801,1.0714,22.1,<2.5,5.66697504095596,0.11674857858726,0.0,5.5502264623687,10377000.0,%,0.3591,31.5441,0.527,0.0,12.2651,1.9867,3.9873,0.5829,13.3004,11.7101,0.028,0.5363,0.499,0.1213,1.054,1.0679,0.0,0.0047,0.3591,18.4582,0.0933,1.3431,0.1726,22.1,<2.5,5.66697504095596,0.11674857858726,0.0,5.5502264623687,10377000.0,%
146,Switzerland,0.0,28.1054,6.2293,0.0,1.1241,0.93,0.4048,0.3379,12.0906,0.0,8.3804,0.0703,0.5286,0.0268,0.0836,0.0368,0.174,0.0,0.0,1.9772,21.8962,17.3898,0.2141,21.2,<2.5,6.16021542738013,0.111257817929117,3.67848042622191,2.37047718322909,8634000.0,%,2.3293,15.5435,2.4172,0.0,11.7492,0.586,0.4395,1.9338,6.1822,5.7867,0.0,0.1172,0.2783,0.249,0.0879,1.0841,0.2051,0.0,7.8963,0.9522,34.4711,6.695,0.9962,21.2,<2.5,6.16021542738013,0.111257817929117,3.67848042622191,2.37047718322909,8634000.0,%,0.408,30.6026,0.0732,0.0052,13.2925,1.674,2.2651,0.7951,11.7127,14.1191,0.7585,0.4447,0.5964,0.1151,0.9207,0.2459,0.0,0.0105,0.8684,19.3974,0.0209,1.674,0.0,21.2,<2.5,6.16021542738013,0.111257817929117,3.67848042622191,2.37047718322909,8634000.0,%
147,Taiwan*,0.0,19.3217,2.6952,0.0,1.1629,1.4818,0.4667,0.2956,13.2817,0.0194,1.3223,0.07,2.8197,0.0506,0.105,0.0194,0.4823,0.0,0.0,0.6145,30.6783,24.8016,0.3111,,3.5,0.0039135959339263,3.81194409148666e-05,0.0035705209656925,0.0003049555273189,23610000.0,%,1.2767,10.9525,1.0415,0.0,15.4208,0.9071,0.7559,2.083,6.9881,1.1423,0.084,0.1008,1.915,0.42,0.2016,0.4536,0.2688,0.0504,4.8715,0.7055,39.0391,9.4742,1.8478,,3.5,0.0039135959339263,3.81194409148666e-05,0.0035705209656925,0.0003049555273189,23610000.0,%,0.2391,24.758,0.035,0.0175,12.9738,2.4082,4.5073,0.7813,14.793,2.4431,0.5598,6.0058,0.9329,0.2041,0.2391,0.3557,0.0117,0.0,0.5364,25.2362,0.0058,2.8571,0.0991,,3.5,0.0039135959339263,3.81194409148666e-05,0.0035705209656925,0.0003049555273189,23610000.0,%
148,Tajikistan,0.0,12.6827,0.0348,0.0,10.2035,0.5741,0.0174,0.3566,7.159,0.0348,4.6799,0.2175,1.27,0.1131,0.0174,0.0783,1.1308,0.0,0.0,0.4175,37.3173,22.7557,0.9395,12.6,,0.141139039134585,0.0009545020680878,0.140184537066497,0.0,9429000.0,%,0.1427,5.1831,0.0,0.0,27.4132,0.214,0.0238,1.5216,2.3776,2.3776,0.0951,0.1664,0.4042,0.5944,0.0476,1.379,0.3566,0.0,3.8992,0.1189,44.8407,5.4922,3.3524,12.6,,0.141139039134585,0.0009545020680878,0.140184537066497,0.0,9429000.0,%,0.009,12.1401,0.0,0.0,28.2246,0.6499,0.0903,0.5777,5.5601,4.8921,0.9568,0.6679,1.4803,0.0903,1.2546,0.2437,0.0,0.0,0.1354,37.8554,0.009,5.0546,0.1083,12.6,,0.141139039134585,0.0009545020680878,0.140184537066497,0.0,9429000.0,%
149,Thailand,0.0,19.5718,1.666,0.0,2.538,2.8961,1.7984,0.506,11.6621,0.0078,1.4636,0.0934,4.6166,0.1012,1.7594,0.0701,0.1246,0.0,0.0,0.2647,30.4165,20.2336,0.2102,10.8,7.8,0.0351264015390627,0.0001187362852075,0.0254636727086903,0.0095439925451648,66534000.0,%,2.1401,6.4025,0.336,0.0,23.1871,0.902,1.1496,1.8394,3.0775,0.849,0.0177,0.0707,1.3265,0.4245,1.0612,1.0612,0.0707,0.0,7.729,0.1061,43.5975,4.0679,0.5837,10.8,7.8,0.0351264015390627,0.0001187362852075,0.0254636727086903,0.0095439925451648,66534000.0,%,0.336,21.4555,0.0246,0.0328,19.8574,3.188,8.2855,0.9916,7.3431,2.0406,0.5491,1.9423,1.2375,1.8604,0.4507,0.3524,0.0,0.0,0.1147,28.5363,0.0164,1.3522,0.0328,10.8,7.8,0.0351264015390627,0.0001187362852075,0.0254636727086903,0.0095439925451648,66534000.0,%
150,Timor-Leste,0.0,17.8988,2.0345,0.0,10.2168,0.2446,0.7893,1.3007,14.5525,0.1112,0.1779,0.0889,3.5353,0.2779,0.1445,0.1779,0.2001,0.0,0.0,0.0111,32.1067,15.9644,0.1668,2.9,24.9,0.0060698027314112,0.0,0.004628224582701,0.0014415781487101,1318000.0,%,0.1169,5.0491,0.3974,0.0,32.7256,0.0701,0.374,0.6078,3.9972,0.1169,0.187,0.0701,0.9818,1.5428,0.0701,2.4778,0.3039,0.0,2.5245,0.0,44.9743,2.9687,0.4441,2.9,24.9,0.0060698027314112,0.0,0.004628224582701,0.0014415781487101,1318000.0,%,0.0433,13.5655,0.104,0.0,26.8711,0.2166,1.9491,0.2685,10.6289,0.2772,0.3812,2.157,3.6036,0.0866,1.0135,1.2474,0.0,0.0,0.0,36.4432,0.0087,0.9356,0.1992,2.9,24.9,0.0060698027314112,0.0,0.004628224582701,0.0014415781487101,1318000.0,%
151,Togo,0.0,5.3063,0.5351,0.0,8.9093,0.1962,0.5708,0.0624,3.3889,0.0803,0.544,0.0713,2.9608,0.8918,0.223,0.6064,0.1694,0.0,0.0,0.0,44.6892,30.643,0.1516,7.1,16.1,0.0656601038772799,0.0009542215243386,0.0547771469984298,0.0099287353545114,8279000.0,%,0.2882,2.0379,0.1029,0.0,23.2812,0.0618,0.3911,0.2058,1.1116,0.3088,0.1647,0.0412,0.8234,3.0259,0.1029,10.5599,0.0618,0.0,2.8201,0.0,47.9621,6.2577,0.3911,7.1,16.1,0.0656601038772799,0.0009542215243386,0.0547771469984298,0.0099287353545114,8279000.0,%,0.096,8.0251,0.0174,0.0,26.0904,0.2355,2.739,0.1221,3.9428,0.82,0.2791,1.4567,7.8768,0.1483,4.9721,0.1396,0.0,0.0,0.0,41.9749,0.0,0.8636,0.2006,7.1,16.1,0.0656601038772799,0.0009542215243386,0.0547771469984298,0.0099287353545114,8279000.0,%
152,Trinidad and Tobago,0.0,23.3455,5.3472,0.0,2.5134,0.6185,0.7816,0.3205,11.386,0.1012,5.1279,0.0843,3.1993,0.343,0.4386,0.0843,0.4386,0.0,0.0,0.596,26.6573,18.4369,0.1799,19.7,5.5,0.556026296566837,0.0098612125639152,0.529948867786706,0.0162162162162162,1369000.0,%,0.8874,9.9918,1.3969,0.0,18.4224,0.2629,0.7067,1.249,4.6343,2.9088,0.378,0.0986,1.0682,1.4297,0.378,1.1997,0.1808,0.0,9.1537,0.1972,40.0164,4.7658,0.6738,19.7,5.5,0.556026296566837,0.0098612125639152,0.529948867786706,0.0162162162162162,1369000.0,%,0.0945,24.9557,0.0532,0.0,16.7277,0.7442,4.0579,0.4725,13.5735,5.9657,0.5611,1.0514,3.2369,0.4135,1.0573,0.2008,0.0,0.0,0.2067,25.0443,0.0413,0.9864,0.5552,19.7,5.5,0.556026296566837,0.0098612125639152,0.529948867786706,0.0162162162162162,1369000.0,%
153,Tunisia,0.0,12.7886,2.6543,0.0,3.2543,0.9255,0.5085,0.4068,4.0323,0.0102,4.5764,0.0915,1.4085,0.2034,0.3407,0.0407,0.3,0.0,0.0,2.3289,37.2114,28.1552,0.7627,27.3,4.3,1.81721587088097,0.0602051109616678,1.45330363147276,0.303707128446537,11896000.0,%,0.2452,5.7984,0.6779,0.0,23.9579,0.3894,0.3462,1.9472,1.6876,2.6107,0.0288,0.0721,0.5193,1.0097,0.2452,0.8654,0.1587,0.0,5.0483,0.7356,44.2233,7.0676,2.3655,27.3,4.3,1.81721587088097,0.0602051109616678,1.45330363147276,0.303707128446537,11896000.0,%,0.0657,14.2467,0.0909,0.0,25.144,1.1367,1.7834,0.8285,5.3804,5.4865,0.3688,1.1013,2.3795,0.3587,0.6366,0.4193,0.0,0.0,0.8538,35.7583,0.0657,3.8547,0.0404,27.3,4.3,1.81721587088097,0.0602051109616678,1.45330363147276,0.303707128446537,11896000.0,%
154,Turkey,0.0,13.6766,2.9392,0.0,2.0428,0.825,0.1428,0.3292,3.8475,0.0079,5.8586,0.0674,1.7453,0.3808,0.3729,0.0516,0.0912,0.0,0.0,2.8162,36.3175,27.8172,0.6703,32.2,<2.5,3.01513787214732,0.0318676331848526,2.88105019286576,0.102220046096708,83737000.0,%,0.3107,7.5989,0.9322,0.0,19.2938,0.4237,0.1271,2.2881,2.1328,3.9266,0.0282,0.0706,0.6921,1.7232,0.2966,1.2853,0.0989,0.0,4.3644,1.0734,42.4011,8.7571,2.1751,32.2,<2.5,3.01513787214732,0.0318676331848526,2.88105019286576,0.102220046096708,83737000.0,%,0.0692,17.6686,0.0395,0.0,20.5038,1.1558,0.6866,0.9879,7.2808,8.1403,0.3655,0.652,3.4675,0.3803,1.0768,0.5335,0.0,0.0049,0.8298,32.3339,0.0692,3.7145,0.0395,32.2,<2.5,3.01513787214732,0.0318676331848526,2.88105019286576,0.102220046096708,83737000.0,%
155,Turkmenistan,0.0,32.6886,6.4856,0.0,2.9938,1.106,0.1274,0.3069,17.4764,0.0347,7.4411,0.0521,0.3938,0.0405,0.0058,0.0521,1.0829,0.0,0.0,0.1969,17.3085,11.761,0.4459,17.5,5.4,,,,,6031000.0,%,0.2263,13.1267,1.7409,0.0,27.4025,0.4701,0.1045,1.3231,6.4415,4.335,0.087,0.0522,0.1393,0.2263,0.0,1.0097,0.4178,0.0,1.3057,0.0696,36.8558,3.1337,1.532,17.5,5.4,,,,,6031000.0,%,0.0,21.5563,0.0485,0.0,24.3242,1.1201,0.4685,0.4254,12.3586,7.3613,0.1992,0.1992,0.4739,0.0054,0.7485,0.2746,0.0,0.0,0.0592,28.4437,0.0162,1.8255,0.0915,17.5,5.4,,,,,6031000.0,%
